Track name,Artist name,Album,Playlist name,Type,ISRC
"Escapism.","RAYE","My 21st Century Blues","Car Rock 🚗","Playlist","QMDA62217995"
"This Is What You Came For","Calvin Harris","This Is What You Came For","Car Rock 🚗","Playlist","GBARL1600460"
"Wake Me Up","Avicii","True","Car Rock 🚗","Playlist","SEUM71301326"
"Scars To Your Beautiful","Alessia Cara","Know-It-All (Deluxe)","Car Rock 🚗","Playlist","USUM71506811"
"Without Me","Halsey","Manic","Car Rock 🚗","Playlist","USUM71813499"
"Bloody Mary","Lady Gaga","Born This Way (International Special Edition Version)","Car Rock 🚗","Playlist","USUM71106449"
"Night Changes","One Direction","FOUR (Deluxe)","Car Rock 🚗","Playlist","GBHMU1400165"
"Stressed Out","Twenty One Pilots","Blurryface","Car Rock 🚗","Playlist","USAT21500597"
"Starboy","The Weeknd","Starboy","Car Rock 🚗","Playlist","USUG11600976"
"Creepin' (with The Weeknd & 21 Savage)","Metro Boomin","HEROES & VILLAINS","Car Rock 🚗","Playlist","USUG12208791"
"Romancham Title Track","Sushin Shyam","Romancham","Car Rock 🚗","Playlist","INH102302744"
"Aadharanjali","Sushin Shyam","Aadharanjali (From ""Romancham"")","Car Rock 🚗","Playlist","INH102215337"
"Kudukku","Shaan Rahman","Love Action Drama","Car Rock 🚗","Playlist","INM811460538"
"Velmuruka","M. G. Sreekumar","Evergreen M G Sreekumar","Car Rock 🚗","Playlist","INM200700034"
"Ennilerinju","Shaan Rahman","Jacobinte Swargarajyam","Car Rock 🚗","Playlist","INM811457811"
"Enne Thallendammaava","Vineeth Sreenivasan","Oru Vadakkan Selfie","Car Rock 🚗","Playlist","INM811455870"
"Njan Jackson Allada - From ""Ambili""","Vishnu Vijay","Njan Jackson Allada (From ""Ambili"")","Car Rock 🚗","Playlist","INA981900583"
"Johny Mone Johnee - From ""abcd""","Anna Katharina Valayil","Hits of Anna Katharina Valayil","Car Rock 🚗","Playlist","INM201302233"
